Name,AMAZON.COM,AMAZON.COM - TARGET PRICE MEAN,AMAZON.COM - TURNOVER BY VOLUME,AMAZON.COM - TARGET PRICE MEAN2,AMAZON.COM - TURNOVER BY VOLUME3,bid ask,AMAZON.COM - NO. TARGET PRICE
29/6/16,715.6001,-0.106532946,-0.105499875,800.925,3070.1,-1.39772E-05,40
30/6/16,715.6201,-0.106507975,-0.105474875,800.925,2855.1,-0.000488947,40
1/7/16,725.6799,-0.093947748,-0.092900125,800.925,2920.4,-0.000316902,40
4/7/16,725.6799,-0.093947748,-0.092900125,800.925,0,0,40
5/7/16,728.1001,-0.090925992,-0.089874875,800.925,2431.4,-0.000481065,40
6/7/16,737.6101,-0.079052221,-0.077987375,800.925,3938.2,-0.000298358,40
7/7/16,736.5701,-0.080350719,-0.079287375,800.925,2945.8,-4.08662E-05,40
8/7/16,745.8101,-0.068814059,-0.067737375,800.925,3429.2,-0.000577148,40
11/7/16,753.78,-0.058863189,-0.057775,800.925,3195.3,-0.000265722,40
12/7/16,748.21,-0.065817648,-0.0647375,800.925,5623.7,-0.000213889,40
13/7/16,742.6299,-0.072784718,-0.071712625,800.925,4142.3,-0.000161455,40
14/7/16,741.2,-0.081566145,-0.0735,807.026,2390.5,-8.10913E-05,39
15/7/16,735.4399,-0.088703586,-0.080700125,807.026,3121.4,-4.0929E-05,39
18/7/16,736.0701,-0.087922694,-0.079912375,807.026,2954.9,-0.000285167,39
19/7/16,739.95,-0.083115042,-0.0750625,807.026,2216.8,-0.00043272,39
20/7/16,745.72,-0.075965334,-0.06785,807.026,2214,-0.000187639,39
21/7/16,744.4299,-0.07756392,-0.069462625,807.026,2317.1,-0.00036282,39
22/7/16,744.8601,-0.077030852,-0.068924875,807.026,2277.7,-4.02771E-05,39
25/7/16,739.6101,-0.083536218,-0.075487375,807.026,2679.3,-0.000243269,39
26/7/16,735.5901,-0.08851747,-0.080512375,807.026,2529.7,-0.000163295,39
27/7/16,736.6699,-0.087179471,-0.079162625,807.026,2913.1,-0.000325861,39
28/7/16,752.6101,-0.067427691,-0.059237375,807.026,7617.6,-1.32873E-05,39
29/7/16,758.8101,-0.059745163,-0.051487375,807.026,6777.1,-0.000738266,39
1/8/16,767.74,-0.048679968,-0.040325,807.026,3578.2,-0.000169227,39
2/8/16,760.5801,-0.057551925,-0.049274875,807.026,3603.3,-0.000131217,39
3/8/16,754.6399,-0.064912531,-0.056700125,807.026,3581.5,-0.000119144,39
4/8/16,760.77,-0.057316617,-0.0490375,807.026,3178.2,-0.0001839,39
5/8/16,765.98,-0.050860815,-0.042525,807.026,2704.4,-0.000235343,39
