CEO_TARGET,Date Announced,cik,surname,year_ann
nick discombe,12/2/07,1097338,discombe,2007
louis j. doctor,17/12/98,833619,doctor,1998
david a. dodd,25/4/06,767673,dodd,2006
james h. dodge,15/11/99,319651,dodge,1999
ronald w. dollens,5/12/05,929987,dollens,2005
antoine dominic,20/2/06,873603,dominic,2006
garrett l. dominy,2/5/02,60911,dominy,2002
robert e. donahue,18/6/07,1017172,donahue,2007
timothy m. donahue,15/12/04,824169,donahue,2004
james l. mac donald,15/9/99,945122,donald,1999
j.h. donnan,24/6/03,1056673,donnan,2003
scott d. dorfman,6/10/08,1051114,dorfman,2008
david w. dorman,31/1/05,5907,dorman,2005
david w. dorman,9/5/01,5907,dorman,2001
david w. dorman,8/7/01,5907,dorman,2001
bruce l. downey,18/7/08,10081,downey,2008
david r. dowsett,21/11/05,943736,dowsett,2005
donald j. drapeau,11/12/98,808095,drapeau,1998
roberto drassinower,7/8/01,1081987,drassinower,2001
john l. drew,10/8/99,889085,drew,1999
donna l. dubinsky,4/6/03,1091822,dubinsky,2003
robert w. duggan,7/3/03,906829,duggan,2003
archie w. dunham,18/11/01,1066806,dunham,2001
richard dupont,2/2/98,1014982,dupont,1998
joseph p. durrett,22/6/98,755804,durrett,1998
robert m. dutkowsky,2/6/03,798757,dutkowsky,2003
nicholas p. economou,3/12/98,919646,economou,1998
thomas j. edelman,16/12/04,1006264,edelman,2004
jonathan edelson,3/7/00,1002628,edelson,2000
thomas t. edman,4/5/06,1040660,edman,2006
michael l. edwards,14/6/00,903689,edwards,2000
mark e. ellis,21/2/13,778438,ellis,2013
lynn laverty elsenhans,30/4/12,95304,elsenhans,2012
william j. elsner,18/1/05,887949,elsner,2005
david m. engert,27/9/10,1292470,engert,2010
george r. evanega,27/7/98,832404,evanega,1998
gary c. evans,26/1/05,854271,evans,2005
kevin r. evans,3/3/11,944947,evans,2011
j. roger faherty,4/2/98,839431,faherty,1998
ralph e. faison,31/5/06,317093,faison,2006
robert a. faith,25/7/97,1021421,faith,1997
richard j. faleschini,13/5/10,919015,faleschini,2010
stephen j. fanning,27/7/04,882484,fanning,2004
robert j. farrell,22/5/12,1080224,farrell,2012
william r. fenoglio,7/10/96,8462,fenoglio,1996
richard m. ferrari,30/8/99,1009677,ferrari,1999
william p. ferry,23/10/03,888711,ferry,2003
daniel m. fine,18/5/99,1034073,fine,1999
john w. finke,30/6/14,766561,finke,2014
john h. fisher,1/6/05,49401,fisher,2005
david f. fitzgerald,3/2/14,1005010,fitzgerald,2014
robert c. flexon,13/8/10,1379895,flexon,2010
bruce m. flohr,14/10/99,877326,flohr,1999
james c. flores,5/12/12,891456,flores,2012
peter j. fontaine,7/8/01,889409,fontaine,2001
christopher m. formant,31/7/01,1018705,formant,2001
robert l. fornaro,27/9/10,948846,fornaro,2010
gary d. forsee,21/11/05,1097722,forsee,2005
juan y. forster,20/3/01,840335,forster,2001
w. randall fowler,7/9/10,1324592,fowler,2010
leonard a. foxman,2/9/08,1290096,foxman,2008
thomas h. fraser,15/4/03,887137,fraser,2003
kenneth c. frazier,9/3/09,310158,frazier,2009
joyce freedman,24/1/00,1008130,freedman,2000
richard s. friedland,2/4/01,40656,friedland,2001
stephen h. friend,11/5/01,1081935,friend,2001
edward v. fritzky,17/12/01,719529,fritzky,2001
jay b. fulcher,29/1/01,1088653,fulcher,2001
paul e. fulchino,1/5/06,701650,fulchino,2006
andre de fusco,2/5/00,942132,fusco,2000
jack a. fusco,27/9/01,1120236,fusco,2001
kenneth w. gann,28/8/98,850922,gann,1998
lawrence l. garlick,11/6/01,936653,garlick,2001
jean gaulin,4/5/01,887207,gaulin,2001
moshe gavrielov,12/1/05,1121936,gavrielov,2005
leonard genovese,24/11/98,40970,genovese,1998
william g. gerber,7/9/04,910057,gerber,2004
eitan gertel,16/5/08,1219169,gertel,2008
seifi ghasemi,15/7/14,1315695,ghasemi,2014
h. frank gibbard,12/11/02,1094959,gibbard,2002
william c. gibbs,15/7/02,1034777,gibbs,2002
