,gvkey,cluster,fyear
1004,64538,13,1998
1005,64568,1,1998
1006,64611,16,1998
1007,64640,13,1998
1008,64690,6,1998
1009,64705,17,1998
1010,64727,1,1998
1011,64822,7,1998
1012,64839,15,1998
1013,64861,13,1998
1014,64898,12,1998
1015,64901,5,1998
1016,64924,12,1998
1017,64939,7,1998
1018,64950,9,1998
1019,64984,9,1998
1020,64985,12,1998
1021,64989,17,1998
1022,64997,12,1998
1023,64999,1,1998
1024,65028,5,1998
1025,65105,6,1998
1026,65135,7,1998
1027,65142,0,1998
1028,65144,13,1998
1029,65149,7,1998
1030,65155,17,1998
1031,65156,7,1998
1032,65217,15,1998
1033,65270,14,1998
1034,65311,1,1998
1035,65380,0,1998
1036,65430,1,1998
1037,65463,12,1998
1038,65466,7,1998
1039,65527,12,1998
1040,65549,1,1998
1041,65569,12,1998
1042,65593,1,1998
1043,65630,1,1998
1044,65667,1,1998
1045,65671,17,1998
1046,65681,17,1998
1047,65701,12,1998
1048,65702,1,1998
1049,65718,7,1998
1050,65749,0,1998
1051,65766,10,1998
1052,65772,16,1998
1053,65776,1,1998
1054,65831,1,1998
1055,65928,7,1998
1056,66034,1,1998
1057,66265,7,1998
1058,66435,12,1998
1059,66446,1,1998
1060,66455,7,1998
1061,66496,1,1998
1062,66546,1,1998
1063,66586,17,1998
1064,66602,13,1998
1065,66643,13,1998
1066,66646,1,1998
1067,66662,12,1998
1068,105936,13,1998
1069,107670,1,1998
